Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_code
KF514408,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-03-18,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P1/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514409,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-07-08,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P20/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514410,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-07-08,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P20/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514411,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-05-19,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P10/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514412,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-07-08,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P20/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514413,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.6P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514414,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-07-08,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P20/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514415,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.7P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514416,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514417,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514418,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-03-18,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P1/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514419,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-05-19,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P10/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514420,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-05-19,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P10/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514421,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.2P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514422,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2010-10-01,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.3P20/2010, complete genome",Severe acute respiratory syndrome-related coronavirus
KF514423,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29687,complete,"Town,C.D., Halpin,R.A., Motley,J., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Eckerle,L.D., Becker,M.M., Donaldson,E.F., Lu,X., Graham,R.L., Baric,R.S., Wentworth,D.E., Denison,M.R.",,"USA: Nashville, TN",,,2009-07-08,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P20/2009, complete genome",Severe acute respiratory syndrome-related coronavirus
KF268336,2013-08-14T00:00:00Z,Murine coronavirus,Coronaviridae,31294,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Mclellan,M., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Siddell,S.G., Zhao,L., Elliott,R., Wentworth,D.E., Weiss,S.R.",,USA: Philadelphia,Mus musculus,,2012-10-25,"Murine coronavirus strain MHV/BHKR_lab/USA/infA59_H126A/2012, complete genome",Murine coronavirus
KF268337,2013-08-14T00:00:00Z,Murine coronavirus,Coronaviridae,31294,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Mclellan,M., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Siddell,S.G., Zhao,L., Elliott,R., Wentworth,D.E., Weiss,S.R.",,USA: Philadelphia,Mus musculus,,2012-10-25,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_17Cl1/2012, complete genome",Murine coronavirus
KF268338,2013-08-14T00:00:00Z,Murine coronavirus,Coronaviridae,31294,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Mclellan,M., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Siddell,S.G., Zhao,L., Elliott,R., Wentworth,D.E., Weiss,S.R.",,USA: Philadelphia,Mus musculus,,2012-10-25,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_L94P/2012, complete genome",Murine coronavirus
KF268339,2013-08-14T00:00:00Z,Murine coronavirus,Coronaviridae,31283,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Mclellan,M., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Siddell,S.G., Zhao,L., Elliott,R., Wentworth,D.E., Weiss,S.R.",,USA: Philadelphia,Mus musculus,,2012-10-25,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_ns2M/2012, complete genome",Murine coronavirus
KF430196,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29464,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,2005-04-19,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-4/2005 genomic sequence,Human coronavirus HKU1
KF430199,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29604,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,2009-12-28,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-14/2009 genomic sequence,Human coronavirus HKU1
KF430200,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29628,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,2010-01-08,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-16/2010 genomic sequence,Human coronavirus HKU1
KF430201,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29934,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,2010-01-22,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-18/2010, complete genome",Human coronavirus HKU1
KF430202,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29709,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,2010-01-03,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-7/2010 genomic sequence,Human coronavirus HKU1
KC869678,2013-07-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30111,complete,"Ithete,N.L., Stoffberg,S., Corman,V.M., Cottontail,V.M., Richards,L.R., Schoeman,M.C., Drosten,C., Drexler,J.F., Preiser,W., Stoffberg Hockey,S., Richards,L.","24050621, 25031349",South Africa,Neoromicia capensis,,2011,"Coronavirus Neoromicia/PML-PHE1/RSA/2011, complete genome",Middle East respiratory syndrome-related coronavirus
JX993987,2013-06-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29484,complete,"Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S., Jin,Q., Yang,J., Qian,Z.","23739658, 26433221, 26262818",China,Rhinolophus pusillus,,2011-09,"Bat coronavirus Rp/Shaanxi2011, complete genome",Severe acute respiratory syndrome-related coronavirus
JX993988,2013-06-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29452,complete,"Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S., Jin,Q., Yang,J., Qian,Z.","23739658, 26433221, 26262818",China,Chaerephon plicatus,,2011,"Bat coronavirus Cp/Yunnan2011, complete genome",Severe acute respiratory syndrome-related coronavirus
KF186564,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30081,complete,"Cotten,M., Watson,S.J., Kellam,P., Al-Rabeeah,A.A., Makhdoom,H.Q., Assiri,A., Al-Tawfiq,J.A., Alhakeem,R.F., Madani,H., AlRabiah,F.A., Al Hajjar,S., Al-nassir,W.N., Albarrak,A., Flemban,H., Balkhy,H.H., Alsubaie,S., Palser,A.L., Gall,A., Bashford-Rogers,R., Rambaut,A., Zumla,A.I., Memish,Z.A., Zumla,A.",24055451,Saudi Arabia,Homo sapiens,,2013-05-01,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_4_2013, complete genome",Middle East respiratory syndrome-related coronavirus
KF186565,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30069,complete,"Cotten,M., Watson,S.J., Kellam,P., Al-Rabeeah,A.A., Makhdoom,H.Q., Assiri,A., Al-Tawfiq,J.A., Alhakeem,R.F., Madani,H., AlRabiah,F.A., Al Hajjar,S., Al-nassir,W.N., Albarrak,A., Flemban,H., Balkhy,H.H., Alsubaie,S., Palser,A.L., Gall,A., Bashford-Rogers,R., Rambaut,A., Zumla,A.I., Memish,Z.A., Zumla,A.",24055451,Saudi Arabia,Homo sapiens,,2013-04-22,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_3_2013, complete genome",Middle East respiratory syndrome-related coronavirus
KF186566,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30113,complete,"Cotten,M., Watson,S.J., Kellam,P., Al-Rabeeah,A.A., Makhdoom,H.Q., Assiri,A., Al-Tawfiq,J.A., Alhakeem,R.F., Madani,H., AlRabiah,F.A., Al Hajjar,S., Al-nassir,W.N., Albarrak,A., Flemban,H., Balkhy,H.H., Alsubaie,S., Palser,A.L., Gall,A., Bashford-Rogers,R., Rambaut,A., Zumla,A.I., Memish,Z.A., Zumla,A.",24055451,Saudi Arabia,Homo sapiens,,2013-04-21,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_2_2013, complete genome",Middle East respiratory syndrome-related coronavirus
KF186567,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30117,complete,"Cotten,M., Watson,S.J., Kellam,P., Al-Rabeeah,A.A., Makhdoom,H.Q., Assiri,A., Al-Tawfiq,J.A., Alhakeem,R.F., Madani,H., AlRabiah,F.A., Al Hajjar,S., Al-nassir,W.N., Albarrak,A., Flemban,H., Balkhy,H.H., Alsubaie,S., Palser,A.L., Gall,A., Bashford-Rogers,R., Rambaut,A., Zumla,A.I., Memish,Z.A., Zumla,A.",24055451,Saudi Arabia,Homo sapiens,,2013-05-09,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_1_2013, complete genome",Middle East respiratory syndrome-related coronavirus
KF192507,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30123,complete,"Drosten,C., Seilmaier,M., Corman,V.M., Hartmann,W., Scheible,G., Sack,S., Guggemos,W., Kallies,R., Muth,D., Junglen,S., Muller,M.A., Haas,W., Guberina,H., Rohnisch,T., Schmid-Wendtner,M., Aldabbagh,S., Dittmer,U., Gold,H., Graf,P., Bonin,F., Rambaut,A., Wendtner,C.M.",23782859,United Arab Emirates,Homo sapiens,,2013,"Middle East respiratory syndrome coronavirus, complete genome",Middle East respiratory syndrome-related coronavirus
KC776174,2013-03-25T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30030,complete,"Elassal,E.M., Demian,P.N., Defang,G.N., Rozanski,C.H., Curry,J.A., Oyofo,B.A., Al-Sanouri,T.M., Haddadin,A., Mohareb,E.W.",,Jordan,Homo sapiens,lung,2012-04,"Human betacoronavirus 2c Jordan-N3/2012, complete genome",Middle East respiratory syndrome-related coronavirus
KC667074,2013-02-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30112,complete,"Cotten,M., Lam,T.T., Watson,S.J., Palser,A.L., Petrova,V., Grant,P., Pybus,O.G., Rambaut,A., Guan,Y., Pillay,D., Kellam,P., Nastouli,E., Cotten,M.L., Palser,A., Pybus,O.",23693015,United Kingdom: England,Homo sapiens,,2012-09-19,"Human betacoronavirus 2c England-Qatar/2012, complete genome",Middle East respiratory syndrome-related coronavirus
KC164505,2012-12-05T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30111,complete,"Galiano,M., Myers,R., Bermingham,A., Gopal,R., Zambon,M.",,United Kingdom,Homo sapiens,,2012-09-11,"Betacoronavirus England 1, complete genome",Middle East respiratory syndrome-related coronavirus
JX860640,2012-11-18T00:00:00Z,Betacoronavirus 1,Coronaviridae,31028,complete,"Lim,S.I., Choi,S., Lim,J.A., Jeoung,H.Y., Song,J.Y., Dela Pena,R.C., An,D.J., Pena,R.Cd.C.",23405345,South Korea,Canis lupus familiaris,lung,2008,"Canine respiratory coronavirus strain K37, complete genome",Betacoronavirus 1
JX869059,2012-09-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30119,complete,"van Boheemen,S., de Graaf,M., Lauber,C., Bestebroer,T.M., Raj,V.S., Zaki,A.M., Osterhaus,A.D., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Fouchier,R.A., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.",23170002,,Homo sapiens,,2012-06-13,"Human betacoronavirus 2c EMC/2012, complete genome",Middle East respiratory syndrome-related coronavirus
JX163923,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-10,"SARS coronavirus isolate Tor2/FP1-10912, complete genome",Severe acute respiratory syndrome-related coronavirus
JX163924,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-05,"SARS coronavirus isolate Tor2/FP1-10851, complete genome",Severe acute respiratory syndrome-related coronavirus
JX163925,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-05,"SARS coronavirus isolate Tor2/FP1-10895, complete genome",Severe acute respiratory syndrome-related coronavirus
JX163926,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-10,"SARS coronavirus isolate Tor2/FP1-10912, complete genome",Severe acute respiratory syndrome-related coronavirus
JX163927,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-05,"SARS coronavirus isolate Tor2/FP1-10851, complete genome",Severe acute respiratory syndrome-related coronavirus
JX163928,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29646,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Powers,N., Grimes,S., Yamamoto,B., Robb,A., Wentworth,D.E., Noah,D.L.",,USA,,,2010-02-05,"SARS coronavirus isolate Tor2/FP1-10895, complete genome",Severe acute respiratory syndrome-related coronavirus
