Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,Collection_Date_code,GenBank_Title,Species_code
MT163717,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29897,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2/28/20,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA4-UW2/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT126808,2020-03-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29876,complete,"Amgarten,D., Malta,F., Ruiz,R.M., Petroni,R., Santana,R.A.F., de Menezes,F.G., Mangueira,C.L.P., Pinho,J.R.R.",,Brazil,Homo sapiens,oronasopharynx,2/28/20,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP02/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT419841,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29722,complete,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-SCCPHD-UC14/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT370904,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29716,complete,"Gonzalez-Reiche,A.S., Hernandez,M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",,USA: NY,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY1-PV08001/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT304475,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Uehara,A., Paden,C.R., Wang,H., Marine,R., Keckler,M.S., Laufer Halpin,A.S., Padilla,J., Lee,J., Elkins,C.A., Tong,S.",,South Korea,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KOR/BA-ACH_2718/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT304476,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Uehara,A., Paden,C.R., Wang,H., Marine,R., Keckler,M.S., Laufer Halpin,A.S., Padilla,J., Lee,J., Elkins,C.A., Tong,S.",,South Korea,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KOR/BA-ACH_2719/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT304484,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Uehara,A., Paden,C.R., Wang,H., Marine,R., Keckler,M.S., Laufer Halpin,A.S., Padilla,J., Lee,J., Elkins,C.A., Tong,S.",,USA: NH,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH_0004/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT304489,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Uehara,A., Paden,C.R., Wang,H., Marine,R., Keckler,M.S., Laufer Halpin,A.S., Padilla,J., Lee,J., Elkins,C.A., Tong,S.",,USA: TX,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX_2039/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276326,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2741/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276327,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2742/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276331,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Tao,Y., Zhang,J., Queen,K., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: TX,Homo sapiens,oronasopharynx,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX_2020/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT163718,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29903,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2/29/20,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA6-UW3/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
NC_004718,2003-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,complete,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X., Snijder,E.J., Bredenbeek,P.J., Dobbe,J.C., Thiel,V., Ziebuhr,J., Poon,L.L., Guan,Y., Rozanov,M., Spaan,W.J., Gorbalenya,A.E., Marra,M.A., Jones,S.J., Astell,C.R., Holt,R.A., Brooks-Wilson,A., Butterfield,Y.S., Khattra,J., Asano,J.K., Barber,S.A., Chan,S.Y., Cloutier,A., Coughlin,S.M., Freeman,D., Girn,N., Griffith,O.L., Leach,S.R., Mayo,M., McDonald,H., Montgomery,S.B., Pandoh,P.K., Petrescu,A.S., Robertson,A.G., Schein,J.E., Siddiqui,A., Smailus,D.E., Stott,J.M., Yang,G.S., Plummer,F., Artsob,H., Bernard,K., Bowness,D., Czub,M., Drebot,M., Fernando,L., Flick,R., Garbutt,M., Gray,M., Grolla,A., Jones,S., Feldmann,H., Meyers,A., Kabani,A., Normand,S., Stroher,U., Tipples,G.A., Vogrig,R., Ward,D., Watson,B., Brunham,R.C., Krajden,M., Petric,M., Skowronski,D.M., Upton,C., Roper,R.L.","15020242, 12927536, 12730501",Canada: Toronto,,blood,,,"SARS coronavirus, complete genome",Severe acute respiratory syndrome-related coronavirus
HW375992,2014-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Han,J., Houghton,M.",,,,,,,JP 2012255024-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,Severe acute respiratory syndrome-related coronavirus
HW269828,2013-10-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Houghton,M., Han,J.",,,,,,,JP 2012105686-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,Severe acute respiratory syndrome-related coronavirus
HI553383,2010-11-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Wimmer,E., Skiena,S., Mueller,S., Futcher,B., Papamichail,D., Coleman,J.R., Cello,J.",,,,,,,Sequence 41 from Patent EP2139515,Severe acute respiratory syndrome-related coronavirus
GQ153539,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29704,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-4, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153540,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29704,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-5, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153541,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29704,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-6, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153542,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29716,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-7, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153543,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29681,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-8, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153544,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29695,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-9, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153545,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29695,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-10, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153546,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29695,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-11, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153547,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29704,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-12, complete genome",Severe acute respiratory syndrome-related coronavirus
GQ153548,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29677,complete,"Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Li,K.S.M., Choi,G.K.Y., Chan,K.-H., Zheng,B.-J., Woo,P.C.Y., Yuen,K.-Y.",20071579,,,,,,"Bat SARS coronavirus HKU3-13, complete genome",Severe acute respiratory syndrome-related coronavirus
FV537210,2010-03-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Millar,D.S., Meruki,J.R.",,,,,,,Modified Microbial Nucleic Acid,Severe acute respiratory syndrome-related coronavirus
FV537211,2010-03-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Millar,D.S., Meruki,J.R.",,,,,,,Modified Microbial Nucleic Acid,Severe acute respiratory syndrome-related coronavirus
FV537212,2010-03-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Millar,D.S., Meruki,J.R.",,,,,,,Modified Microbial Nucleic Acid,Severe acute respiratory syndrome-related coronavirus
FV537213,2010-03-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Millar,D.S., Meruki,J.R.",,,,,,,Modified Microbial Nucleic Acid,Severe acute respiratory syndrome-related coronavirus
FJ959407,2009-09-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29694,complete,"Wang,H., Kan,B., Xu,J.",,China,Paradoxurus hermaphroditus,,,,"SARS coronavirus isolate A001, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371559,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29731,complete,"Lu,Y.Y., Yan,J.Y., Wang,Z.G., Li,L.J., Cong,L.M., Cheng,S.Y., Zhang,Y.J.",,,,,,,"SARS coronavirus ZJ02, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371560,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29731,complete,"Bao,Q.Y., Wu,J.Y., Wang,S.Q., Qi,Y.",,,,,,,"SARS coronavirus BJ182a, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371561,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29602,complete,"Bao,Q.Y., Wu,J.Y., Wang,S.Q., Qi,Y.",,,,,,,"SARS coronavirus BJ182b, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371562,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29602,complete,"Bao,Q.Y., Wu,J.Y., Wang,S.Q., Qi,Y.",,,,,,,"SARS coronavirus BJ182-4, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371563,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29602,complete,"Bao,Q.Y., Wu,J.Y., Wang,S.Q., Qi,Y.",,,,,,,"SARS coronavirus BJ182-8, complete genome",Severe acute respiratory syndrome-related coronavirus
EU371564,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29512,complete,"Bao,Q.Y., Wu,J.Y., Wang,S.Q., Qi,Y.",,,,,,,"SARS coronavirus BJ182-12, complete genome",Severe acute respiratory syndrome-related coronavirus
DL476508,2008-12-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Han,J., Houghton,M.",,,,,,,MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,Severe acute respiratory syndrome-related coronavirus
DL008527,2008-07-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29746,partial,"Charneau,P., Azebi,S., Burguiere,A.M., Gerbaud,S., Manuguerra,J., Callendret,B., Betton,J., Lorin,V., Kunst,F., CrescenzoMchaigne,B., Combredet,C., Martin,M., Tangy,F., Delagneau,J., Escriou,N., Werf,S.V.D.",,,,,,,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,Severe acute respiratory syndrome-related coronavirus
DL008547,2008-07-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,21221,partial,"Charneau,P., Azebi,S., Burguiere,A.M., Gerbaud,S., Manuguerra,J., Callendret,B., Betton,J., Lorin,V., Kunst,F., CrescenzoMchaigne,B., Combredet,C., Martin,M., Tangy,F., Delagneau,J., Escriou,N., Werf,S.V.D.",,,,,,,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,Severe acute respiratory syndrome-related coronavirus
DJ066921,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29727,partial,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus,Severe acute respiratory syndrome-related coronavirus
DJ059765,2008-01-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29746,partial,"Betton,J., Gerbaud,S., Azebi,S., Charneau,P., Tangy,F., Combredet,C., Delagneau,J., Martin,M., Lorin,V., Burguiere,A.M., Callendret,B., Kunst,F., Manuguerra,J., Crescenzo-chaigne,B., Escriou,N., Werf,S.V.D.",,,,,,,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,Severe acute respiratory syndrome-related coronavirus
DJ059785,2008-01-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,21221,partial,"Betton,J., Gerbaud,S., Azebi,S., Charneau,P., Tangy,F., Combredet,C., Delagneau,J., Martin,M., Lorin,V., Burguiere,A.M., Callendret,B., Kunst,F., Manuguerra,J., Crescenzo-chaigne,B., Escriou,N., Werf,S.V.D.",,,,,,,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,Severe acute respiratory syndrome-related coronavirus
DJ045279,2007-10-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Yang,M., Xu,M.",,,,,,,IMAGEABLE ANIMAL MODEL OF SARS INFECTION,Severe acute respiratory syndrome-related coronavirus
DQ898174,2007-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,complete,"Tylor,S., Andonov,A., Cutts,T., Cao,J., Grudesky,E., Van Domselaar,G., Li,X., He,R., Tyler,S.",19370068,Canada,,,,,"SARS coronavirus strain CV7, complete genome",Severe acute respiratory syndrome-related coronavirus
CS569493,2007-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Han,J., Houghton,M.",,,,,,,Sequence 1 from Patent WO2006039656,Severe acute respiratory syndrome-related coronavirus
CS480537,2007-02-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,37971,partial,"enjuanes Sanches,L., lopez de Diego,M., alvarez Gomez,E., almazan Toral,F.",,,,,,,Sequence 11 from Patent WO2006136448,Severe acute respiratory syndrome-related coronavirus
CS460762,2007-01-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,37971,partial,"Alvarez Gomez,E., Lopez de Diego,M., Enjuanes Sanches,L., Almazan Toral,F.",,,,,,,Sequence 11 from Patent EP1736539,Severe acute respiratory syndrome-related coronavirus
DQ648856,2006-07-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29704,complete,"Tang,X.C., Zhang,J.X., Zhang,S.Y., Wang,P., Fan,X.H., Li,L.F., Li,G., Dong,B.Q., Liu,W., Cheung,C.L., Xu,K.M., Song,W.J., Vijaykrishna,D., Poon,L.L., Peiris,J.S., Smith,G.J., Chen,H., Guan,Y., Poon,L.L.M., Peiris,J.S.M., Smith,G.J.D.",16840328,,,,,,"Bat coronavirus (BtCoV/273/2005), complete genome",Severe acute respiratory syndrome-related coronavirus
DQ648857,2006-07-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29741,complete,"Tang,X.C., Zhang,J.X., Zhang,S.Y., Wang,P., Fan,X.H., Li,L.F., Li,G., Dong,B.Q., Liu,W., Cheung,C.L., Xu,K.M., Song,W.J., Vijaykrishna,D., Poon,L.L., Peiris,J.S., Smith,G.J., Chen,H., Guan,Y., Poon,L.L.M., Peiris,J.S.M., Smith,G.J.D.",16840328,,,,,,"Bat coronavirus (BtCoV/279/2005), complete genome",Severe acute respiratory syndrome-related coronavirus
DQ412042,2006-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29709,complete,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,,Rhinolophus ferrumequinum,,,,"Bat SARS coronavirus Rf1, complete genome",Severe acute respiratory syndrome-related coronavirus
DQ412043,2006-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29749,complete,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Ren,W.Z., Li,W.D., Zhou,P., Hao,P., Zhang,S.Y., Zhao,G.P., Zhong,Y., Wang,S.Y., Wang,L.-F., Shi,Z.L.",16195424,,Rhinolophus macrotis,,,,"Bat SARS coronavirus Rm1, complete genome",Severe acute respiratory syndrome-related coronavirus
DQ640652,2006-06-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29746,complete,"Cai,J.-P., Hei,A.-L., Hu,J.-H., Wang,S.-K., Zhang,C.-B., Dai,D.-P., Shen,Z.-Y., Guo,J., Li,M., Wu,Y.-S., Cheng,G., He,Y.-S., Hou,M.",,China,Homo sapiens,lung,,,"SARS coronavirus GDH-BJH01, complete genome",Severe acute respiratory syndrome-related coronavirus
AY864805,2006-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,complete,"Bao,Q.Y., Qi,Y., Shang,L., Tian,W., Xu,J.C.",,China: Beijing,,,,,"SARS coronavirus BJ162, complete genome",Severe acute respiratory syndrome-related coronavirus
AY864806,2006-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,complete,"Shang,L., Qi,Y., Bao,Q.Y., Tian,W., Xu,J.C., Feng,M.G., Yang,H.M.",16625834,,,,,,"SARS coronavirus BJ202, complete genome",Severe acute respiratory syndrome-related coronavirus
DQ497008,2006-05-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29727,complete,"Roberts,A., Deming,D., Paddock,C.D., Cheng,A., Yount,B., Vogel,L., Herman,B.D., Sheahan,T., Heise,M., Genrich,G.L., Zaki,S.R., Baric,R., Subbarao,K., Paddock,C., Herman,B., Genrich,G., Zaki,S., Ghedin,E., Sengamalay,N., Zaborsky,J.",17222058,,Mus musculus,,,,"SARS coronavirus strain MA-15, complete genome",Severe acute respiratory syndrome-related coronavirus
AB257344,2006-04-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29632,partial,"Yamate,M., Yamashita,M., Goto,T., Tsuji,S., Li,Y.G., Warachit,J., Yunoki,M., Ikuta,K., Li,S., Li,G., Nakaya,T.",16269264,,,,,,"SARS coronavirus Frankfurt 1 genomic RNA, nearly complete genome, clone: persistent virus #21",Severe acute respiratory syndrome-related coronavirus
CS254197,2006-01-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29751,partial,"Han,J., Seo,M.Y., Houghton,M.",,,,,,,Sequence 67 from Patent WO2004011647,Severe acute respiratory syndrome-related coronavirus
DQ071615,2005-10-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29736,complete,"Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S., Wang,L.F., Wang,L.-F.",16195424,China,Chiroptera,,,,"Bat SARS coronavirus Rp3, complete genome",Severe acute respiratory syndrome-related coronavirus
DQ022305,2005-09-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29728,complete,"Lau,S.K., Woo,P.C., Li,K.S., Huang,Y., Tsoi,H.W., Wong,B.H., Wong,S.S., Leung,S.Y., Chan,K.H., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M.",16169905,China,,,,,"Bat SARS coronavirus HKU3-1, complete genome",Severe acute respiratory syndrome-related coronavirus
